node_sig_1,node_sig2,bitcoin_sig_1,bitcoin_sig_2,features,chain_hash,channel_id,node_id_1,node_id_2,bitcoin_key_1,bitcoin_key_2
null,null,null,null,null,null,0,0,1,null,null
null,null,null,null,null,null,1,2,1,null,null
null,null,null,null,null,null,2,2,1,null,null
null,null,null,null,null,null,3,3,2,null,null
null,null,null,null,null,null,4,2,4,null,null
null,null,null,null,null,null,5,2,5,null,null
null,null,null,null,null,null,6,2,6,null,null
null,null,null,null,null,null,7,7,8,null,null
null,null,null,null,null,null,8,9,10,null,null
null,null,null,null,null,null,9,9,10,null,null
null,null,null,null,null,null,10,11,4,null,null
null,null,null,null,null,null,11,8,12,null,null
null,null,null,null,null,null,12,10,8,null,null
null,null,null,null,null,null,13,13,10,null,null
null,null,null,null,null,null,14,6,4,null,null
null,null,null,null,null,null,15,14,15,null,null
null,null,null,null,null,null,16,16,15,null,null
null,null,null,null,null,null,17,2,17,null,null
null,null,null,null,null,null,18,16,18,null,null
null,null,null,null,null,null,19,2,19,null,null
null,null,null,null,null,null,20,20,21,null,null
null,null,null,null,null,null,21,22,23,null,null
null,null,null,null,null,null,22,16,24,null,null
null,null,null,null,null,null,23,3,25,null,null
null,null,null,null,null,null,24,26,10,null,null
null,null,null,null,null,null,25,27,28,null,null
null,null,null,null,null,null,26,29,8,null,null
null,null,null,null,null,null,27,27,25,null,null
null,null,null,null,null,null,28,30,22,null,null
null,null,null,null,null,null,29,3,31,null,null
null,null,null,null,null,null,30,8,32,null,null
null,null,null,null,null,null,31,10,32,null,null
null,null,null,null,null,null,32,3,32,null,null
null,null,null,null,null,null,33,24,32,null,null
null,null,null,null,null,null,34,33,32,null,null
null,null,null,null,null,null,35,2,34,null,null
null,null,null,null,null,null,36,24,35,null,null
null,null,null,null,null,null,37,36,4,null,null
null,null,null,null,null,null,38,37,33,null,null
null,null,null,null,null,null,39,38,4,null,null
null,null,null,null,null,null,40,33,39,null,null
null,null,null,null,null,null,41,21,40,null,null
null,null,null,null,null,null,42,41,40,null,null
null,null,null,null,null,null,43,42,43,null,null
null,null,null,null,null,null,44,44,40,null,null
null,null,null,null,null,null,45,8,45,null,null
null,null,null,null,null,null,46,33,40,null,null
null,null,null,null,null,null,47,43,39,null,null
null,null,null,null,null,null,48,22,39,null,null
null,null,null,null,null,null,49,46,6,null,null
