sig,chainHash,channel_id,timestamp,message_flags,channel_flags,time_lock_delta,htlc_minimum_msat,base_fee,fee_late,htlc_maximum_msat
null,null,25198,254068,null,0,40,1000,1000,1,99565
null,null,20345,325914,null,0,40,1000,1000,1,99764
null,null,8738,630345,null,0,40,1,1000,1,99639
null,null,2062,638818,null,0,144,1000,1000,1,99932
null,null,2343,720201,null,0,144,1000,1000,1,98965
null,null,15605,724630,null,0,40,1000,1000,1,99638
null,null,9896,750152,null,0,40,1,1000,1,100421
null,null,10259,898075,null,0,40,1000,1000,1,98862
null,null,1330,1080788,null,0,144,1000,1000,1,99986
null,null,26532,1166273,null,0,40,1000,1000,1,99719
null,null,9055,1465600,null,0,40,1,1000,1,98523
null,null,27852,1597398,null,0,40,1000,1000,1,99982
null,null,24481,1788679,null,0,40,1000,1000,60,99217
null,null,18059,1803233,null,0,40,1000,0,10,99711
null,null,9041,1888027,null,0,40,1000,1000,1,98760
null,null,10107,2540821,null,0,40,1,1000,1,99743
null,null,1908,2630885,null,0,18,1000,1,1,99211
null,null,14813,2694460,null,0,4,1000,5,1000000,100116
null,null,927,2733811,null,0,144,1000,1000,1,102244
null,null,12856,3173324,null,0,40,1000,1000,1,100061
null,null,29263,3213967,null,0,40,1000,1000,1,102450
null,null,13811,3457358,null,0,40,1,1000,1,101188
null,null,19542,3495471,null,0,40,1000,1000,1,100190
null,null,27433,3741164,null,0,20,1000,1000,180,99969
null,null,22410,3953981,null,0,40,1000,1000,1,103198
null,null,14519,4025014,null,0,40,1000,0,0,100314
null,null,521,4198079,null,0,14,1000,1000,10,99620
null,null,2091,4663854,null,0,14,1000,300,1,100090
null,null,10432,4900070,null,0,40,1000,10,1,101195
null,null,1144,4988111,null,0,144,1000,1000,1,99674
null,null,21360,5580847,null,0,40,1000,1000,1,98888
null,null,23502,5598580,null,0,40,1000,1000,1,99066
null,null,17943,5957942,null,0,40,1000,1000,1,100219
null,null,29619,6448485,null,0,34,0,1000,10,99404
null,null,23484,6792921,null,0,40,1000,1000,1,100172
null,null,516,6946609,null,0,14,1000,1000,10,100076
null,null,24024,7032944,null,0,40,1000,1000,1,101378
